Area_Locality,Society_Name,Numeric_Price,Title,BHK
Vanagaram,Vgn Southern Avenue,8500000,2 BHK Apartment for Sale in Vanagaram Chennai,2
Royapettah,Urbanrise Codename The Game Changer,18000000,2 BHK Apartment for Sale in Royapettah Chennai,2
Rajakilpakkam,Mathu Apartments,5700000,2 BHK Apartment for Sale in Rajakilpakkam Chennai,2
Tambaram,Alameen Milano Orchard,5200000,2 BHK Builder Floor for Sale in Tambaram Chennai,2
Melakottaiyur,Kg Signature City Phase Ii,4000000,2 BHK Apartment for Sale in Melakottaiyur Chennai,2
Perungudi,Annanagar East,36000000,3 BHK Apartment for Sale in Perungudi Chennai,3
Agaram,Rwd Corniche,5900000,2 BHK Apartment for Sale in Agaram Chennai,2
Arumbakkam,Bscpl Bollineni Zion,6800000,3 BHK Apartment for Sale in Arumbakkam Chennai,3
Ram Nagar Madipakkam,Kcee Pt Rajan Salai,11000000,3 BHK Apartment for Sale in Ram Nagar Madipakkam Chennai,3
Koyambedu,Urbanise Revolution One,11000000,3 BHK Apartment for Sale in Koyambedu Chennai,3
Kolathur,House Of Hiranandani,6950000,2 BHK Apartment for Sale in Kolathur Chennai,2
Gerugambakkam,Doshi Risington,7800000,3 BHK Apartment for Sale in Gerugambakkam Chennai,3
2Nd Block Mogappair West,Mahindra Lakewoods,19800000,3 BHK Apartment for Sale in 2nd Block Mogappair West Chennai,3
Padmanabha Nagar Adyar,Casagrand Utopia,28800000,3 BHK Apartment for Sale in Padmanabha Nagar Adyar Chennai,3
Kattukuppam,Dabc Aishwaryam Phase Ii,9000000,2 BHK Apartment for Sale in Kattukuppam Chennai,2
Madhanandapuram,Shreyes Sidhvi,11600000,3 BHK Apartment for Sale in Madhanandapuram Chennai,3
Perambur,Vgn Southern Avenue,6500000,2 BHK Apartment for Sale in Perambur Chennai,2
West Mambalam,Shantiniketan Vega,19600000,3 BHK Apartment for Sale in West Mambalam Chennai,3
Thirumazhisai,Sri Balaji Nagar,6400000,2 BHK Apartment for Sale in Thirumazhisai Chennai,2
Padmanabha Nagar Choolaimedu,Casagrand Builder Northern Star,10900000,2 BHK Apartment for Sale in Padmanabha Nagar Choolaimedu Chennai,2
Adyar,Jbm Independence Nagar,17500000,2 BHK Apartment for Sale in Adyar Chennai,2
Omr,Sis Florence,7990000,3 BHK Apartment for Sale in OMR Chennai,3
Avadi,Marutham Breeze,4500000,2 BHK Apartment for Sale in Avadi Chennai,2
Surya Nagar Medavakkam,Casagrand Utopia,9500000,3 BHK Apartment for Sale in Surya Nagar Medavakkam Chennai,3
Porur,Doshi Risington,7500000,2 BHK Apartment for Sale in Porur Chennai,2
Siruseri,S Gayathri Kirthi Enclave,5400000,3 BHK Apartment for Sale in Siruseri Chennai,3
Sithalapakkam,Cc Majestic Enclave,8000000,3 BHK Apartment for Sale in Sithalapakkam Chennai,3
Madhavaram Milk Colony,Joel Lakeshore,6300000,2 BHK Apartment for Sale in Madhavaram Milk Colony Chennai,2
Virugambakkam,Vgn Zodiac Ville,5500000,2 BHK Builder Floor for Sale in Virugambakkam Chennai,2
Nanmangalam Manikandan Nagar,Neelsagar Apartment,5290000,2 BHK Apartment for Sale in Nanmangalam Manikandan Nagar Chennai,2
Kk Nagar West,Rwd Palm,19900000,3 BHK Apartment for Sale in KK Nagar West Chennai,3
Kattupakkam,Casagrand Zenith,4500000,2 BHK Builder Floor for Sale in Kattupakkam Chennai,2
Oragadam,Akash Apartment,3300000,2 BHK Apartment for Sale in Oragadam Chennai,2
Melakottaiyur,Snr Aashiaana,2400000,2 BHK Apartment for Sale in Melakottaiyur Chennai,2
T Nagar,Tvh Ouranya Bay,11500000,2 BHK Apartment for Sale in T Nagar Chennai,2
Kundrathur,Jains Anarghya,3500000,2 BHK Apartment for Sale in Kundrathur Chennai,2
New Colony Chromepet,Sri Harini Apartments,5900000,2 BHK Apartment for Sale in New Colony Chromepet Chennai,2
Velachery,Palmyra Springs,7500000,2 BHK Apartment for Sale in Velachery Chennai,2
Maduravoyal,Appaswamy The Bloomingdale,6500000,2 BHK Apartment for Sale in Maduravoyal Chennai,2
Perambur,Oliyas Flats,6400000,2 BHK Apartment for Sale in Perambur Chennai,2
Ashok Nagar,S.I.S Marakesh,20000000,3 BHK Apartment for Sale in Ashok Nagar Chennai,3
Rajaji Nagar Villivakkam,La Celeste,5300000,2 BHK Builder Floor for Sale in Rajaji Nagar Villivakkam Chennai,2
Chitlapakkam,Meenakshi Amertha Enclave,4000000,2 BHK Apartment for Sale in Chitlapakkam Chennai,2
